"Company Name","52 Week High (₹)","High Date","52 Week Low (₹)","Low Date"
"Intrasoft Technologi","155.95","31/01/2019","62.00","13/12/2019"
"Inventure Growth & S","18.00","29/05/2019","10.30","05/08/2019"
"IOL Chemicals and Ph","235.00","30/05/2019","162.10","10/12/2019"
"Ipca Laboratorie","1,292.80","31/01/2020","717.00","05/02/2019"
"IRB Infrastructure","160.25","01/04/2019","56.15","11/10/2019"
"IRB InvIT Fund","68.49","03/05/2019","50.62","18/12/2019"
"Ircon Internatio","498.40","30/01/2020","333.40","29/08/2019"
"IRCTC","1,235.00","31/01/2020","625.00","14/10/2019"
"IRIS Clothings","145.00","01/04/2019","91.00","30/01/2019"
"ISMT Ltd.","8.85","15/04/2019","3.50","09/10/2019"
"ITC Ltd.","310.00","15/04/2019","230.50","28/01/2020"
"ITD Cementation Indi","143.85","12/03/2019","35.05","16/10/2019"
"ITI","107.40","07/01/2020","56.10","23/08/2019"
"IVP","139.90","13/03/2019","48.50","26/12/2019"
"IVRCL","1.50","22/10/2018","0.35","09/05/2019"
"IZMO","68.40","15/03/2019","21.00","30/12/2019"
"J B Chemicals & Phar","518.50","29/01/2020","295.00","14/02/2019"
"J Kumar Infraproject","181.65","28/05/2019","104.10","01/02/2019"
"Jagran Prakashan","128.95","29/03/2019","46.20","19/11/2019"
"Jagsonpal Pharma","31.80","05/02/2019","20.20","23/08/2019"
"Jai Balaji Industrie","38.50","09/04/2019","11.45","13/02/2019"
"Jai Corp Ltd.","132.70","18/04/2019","65.20","23/08/2019"
"Jaihind Projects","2.30","01/02/2019","0.55","19/12/2019"
"Jain Irrigation","64.60","19/03/2019","7.10","31/01/2020"
"Jain Studios Ltd","4.70","30/01/2019","1.60","21/01/2020"
"Jaiprakash Power Ven","3.45","13/05/2019","1.00","15/10/2019"
"JaiprakashAssociates","7.15","01/02/2019","1.90","31/12/2019"
"Jakharia Fabric","207.00","15/10/2019","180.00","05/02/2019"
"Jalan Transolutions","19.05","01/02/2019","2.85","09/01/2020"
"Jammu & Kashmir Bank","65.75","10/04/2019","27.10","28/01/2020"
"Jamna Auto Inds.","65.25","15/03/2019","30.30","23/08/2019"
"Jash Engineering","149.90","13/11/2019","70.20","18/02/2019"
"Jay Bharat Marut","322.70","12/03/2019","132.05","05/08/2019"
"Jayant Agro Org","221.80","07/03/2019","109.35","04/12/2019"
"Jayaswal Neco Indust","6.50","03/04/2019","3.00","27/12/2019"
"Jaypee Infratech Ltd","3.90","05/03/2019","0.95","29/08/2019"
"Jayshree Tea","79.90","31/01/2019","40.10","23/08/2019"
"JBF Industries","28.85","08/04/2019","6.05","27/08/2019"
"JBM Auto","303.65","12/03/2019","135.50","23/08/2019"
"JCT Electronic","0.60","10/08/2015","0.15","19/05/2016"
