"Company Name","52 Week High (₹)","High Date","52 Week Low (₹)","Low Date"
"Kamdhenu L","216.00","04/04/2019","76.05","26/08/2019"
"Kanani Industries Lt","7.50","12/03/2019","2.50","14/10/2019"
"Kandagiri Spinni","92.90","08/07/2014","48.35","20/03/2014"
"Kanoria Chemical","73.40","28/05/2019","34.40","19/12/2019"
"Kansai Nerolac Paint","573.00","01/11/2019","390.00","16/05/2019"
"Kapston Facilities","111.00","06/12/2019","75.10","03/10/2019"
"Karda Constructions","220.00","20/09/2019","91.15","20/12/2019"
"Karma Energy","20.20","05/02/2019","7.60","11/10/2019"
"Karnataka Bank","141.25","08/04/2019","67.80","17/10/2019"
"Karur KCP Packkaging","71.00","19/11/2014","19.05","11/03/2014"
"Karur Vysya Bank","89.65","01/02/2019","45.75","30/01/2020"
"Karuturi Global Ltd.","1.85","12/03/2019","0.15","10/10/2019"
"Kaushalya Infrastruc","0.95","11/03/2019","0.30","30/07/2019"
"Kaveri Seed Company","623.90","01/02/2019","368.80","20/02/2019"
"Kavveri Telecom Prod","7.95","04/02/2019","1.70","02/01/2020"
"Kaya L","798.60","06/03/2019","300.20","06/08/2019"
"KCP Ltd.","108.00","18/04/2019","56.95","24/12/2019"
"KCP Sugar & In","19.30","25/02/2019","10.55","23/08/2019"
"KDDL Ltd.","506.00","23/04/2019","271.70","29/01/2020"
"KEC International Lt","353.00","20/01/2020","230.00","29/08/2019"
"Keerti Knowledge","86.00","13/03/2019","56.25","31/01/2019"
"KEI Industries","614.65","30/10/2019","305.10","19/02/2019"
"Kellton Tech Solutio","48.80","08/04/2019","13.75","05/09/2019"
"Kemrock Indus.","13.75","07/07/2016","5.20","07/11/2016"
"Kennametal India","1,227.00","30/10/2019","808.05","23/08/2019"
"Kernex Microsystems","28.70","30/09/2019","17.75","03/09/2019"
"Kesar Enterprise","69.05","12/02/2018","26.00","26/07/2018"
"Kesar Terminals & In","69.50","02/01/2019","25.10","24/12/2019"
"Kesoram Industri","84.10","13/03/2019","46.60","15/10/2019"
"Kewal Kiran Clothing","1,400.00","23/04/2019","905.25","09/08/2019"
"Keynote Financial","55.90","18/03/2019","24.00","09/12/2019"
"Khadim India","524.00","28/03/2019","163.00","19/12/2019"
"Khaitan (India)","45.50","19/03/2019","16.75","29/11/2019"
"Khaitan Electric","18.45","21/09/2018","1.25","28/08/2019"
"Khandwala Securi","20.45","19/03/2019","11.35","20/08/2019"
"KHFM Hospitality","37.00","02/05/2019","24.15","01/11/2019"
"Kilitch Drugs(I)","219.00","18/04/2019","92.95","06/08/2019"
"Kingfa Science & Tec","769.85","29/05/2019","531.00","23/08/2019"
"Kingfisher Airlines","3.65","25/06/2014","1.15","09/02/2015"
"KIOCL","162.00","11/03/2019","104.25","16/12/2019"
"Kiri Industries","654.00","09/04/2019","350.00","12/12/2019"
"Kirloskar Bros.","200.20","04/07/2019","118.65","12/12/2019"
"Kirloskar Bros. Inv","4,924.35","04/02/2015","1,135.00","10/07/2014"
"Kirloskar Elect","20.50","14/03/2019","6.60","23/08/2019"
"Kirloskar Ferrou","86.50","15/01/2020","59.00","19/11/2019"
"Kirloskar Industries","922.00","10/06/2019","588.20","02/08/2019"
"Kirloskar Oil Engine","204.90","28/05/2019","142.95","10/12/2019"
"Kitex Garments","132.00","09/01/2020","70.05","23/08/2019"
"Kitply Indus.","1.65","19/01/2015","1.30","16/03/2015"
"KKV Agro Powers Ltd.","377.20","31/12/2018","319.20","08/03/2019"
"KM Sugar Mills","10.55","07/03/2019","5.40","17/10/2019"
"KNR Constructions","311.80","30/01/2020","195.00","12/02/2019"
"Kohinoor Foods Ltd.","35.35","01/02/2019","7.40","27/10/2019"
"Kokuyo Camlin","104.50","03/04/2019","57.80","23/08/2019"
"Kolte-Patil Develope","287.70","27/09/2019","197.80","25/06/2019"
"Kopran Ltd","46.10","07/05/2019","24.00","10/10/2019"
"Kotak Mahindra Bank","1,734.80","19/12/2019","1,210.00","28/02/2019"
"Kothari Petroche","22.60","31/01/2019","15.10","26/12/2019"
"Kothari Products","107.90","31/05/2019","53.40","17/10/2019"
"Kothari Sugar","17.10","23/01/2020","7.30","16/05/2019"
"Kovai Medical","649.90","29/01/2015","137.50","04/02/2014"
"Kovilpatti Lakshmi","37.45","28/01/2015","18.20","16/05/2014"
"KPIT Technologies","118.30","25/04/2019","69.80","31/07/2019"
"KPR Mill Ltd.","715.00","09/01/2020","514.05","06/02/2019"
"KRBL Ltd.","389.75","06/03/2019","186.40","20/11/2019"
"Krebs Biochemicals &","119.90","04/04/2019","61.95","03/09/2019"
"Kridhan Infra","48.90","06/03/2019","2.05","31/01/2020"
"Krishana Phoschem","68.90","23/09/2019","44.10","19/06/2019"
"Krishna Eng.","1.70","21/05/2015","0.35","02/01/2015"
"Kriti Industries","12.70","23/09/2014","4.20","31/03/2014"
"Kritika Wires","40.00","01/02/2019","32.00","09/05/2019"
"KSB Ltd","760.00","10/01/2020","539.00","03/09/2019"
"KSE","698.65","29/01/2015","185.25","03/02/2014"
"Kshitij Polyline","37.50","22/11/2019","23.00","08/05/2019"
"KSK Energy Ventures","1.40","11/04/2019","0.40","01/10/2019"
"KSS L","0.20","07/02/2019","0.05","14/08/2019"
"Kuantum Papers","539.95","17/01/2020","400.05","25/10/2019"
"Kwality","8.30","13/03/2019","1.30","04/10/2019"
"L&T","1,607.00","28/05/2019","1,201.10","14/02/2019"
"L&T Finance Holdings","155.90","03/04/2019","78.60","09/10/2019"
"L&T Infotech","2,003.00","15/01/2020","1,435.80","22/07/2019"
"L&T Technology Serv","1,820.00","20/05/2019","1,321.00","22/10/2019"
"La Opala RG Ltd.","222.00","29/03/2019","130.50","11/12/2019"
"Lagnam Spintex","19.35","28/01/2019","10.00","09/12/2019"
"Lakshmi Energy & Foo","14.90","18/06/2018","2.50","17/06/2019"
"Lakshmi Finance","90.00","31/01/2019","44.10","22/10/2019"
"Lakshmi Machines","6,450.00","08/03/2019","3,152.25","19/11/2019"
"Lakshmi Mill Co.","2,815.00","08/09/2014","1,425.05","13/03/2014"
"Lakshmi Precn.Sc","18.25","04/04/2019","2.20","24/01/2020"
"Lakshmi Vilas Ba","97.40","08/04/2019","13.35","30/10/2019"
"Lambodhara Texti","59.50","05/04/2019","26.85","30/08/2019"
"Lanco Infratech Ltd.","2.20","19/01/2018","0.30","12/09/2018"
"Landmark Property De","7.15","25/04/2019","1.30","18/10/2019"
"Lasa Supergenerics","35.15","31/01/2020","9.45","06/08/2019"
"Latteys Industries","65.95","29/10/2019","36.15","04/12/2019"
"Laurus Labs","459.95","31/01/2020","303.30","15/10/2019"
"Laxmi Cotspin","14.80","26/08/2019","9.20","17/01/2020"
"LCC Infotech","1.45","16/01/2018","0.15","03/07/2017"
"Leel Electricals","37.90","28/01/2019","2.45","30/12/2019"
"Lemon Tree Hotels","89.30","11/03/2019","47.00","13/08/2019"
"Lexus Granito(India)","38.70","22/03/2019","8.30","02/12/2019"
"LG Balakrishnan&Bros","441.00","07/03/2019","205.00","31/07/2019"
"LGB Forge Ltd.","4.50","01/07/2019","2.10","12/12/2019"
"Libas Designs","66.00","29/10/2019","40.10","21/08/2019"
"Liberty Shoes Li","163.00","17/01/2020","79.05","23/08/2019"
"LIC Housing Fi","587.00","05/07/2019","353.85","15/10/2019"
"Linc Pen & Plast","262.00","22/04/2019","168.00","14/10/2019"
"Lincoln Pharmace","221.00","19/03/2019","124.35","29/08/2019"
"Linde India","792.00","29/01/2020","415.15","05/02/2019"
"Lloyds Steels Ind.","1.15","25/02/2019","0.40","29/08/2019"
"LML Ltd.","13.75","09/06/2017","3.75","14/05/2018"
"Lokesh Machines","51.00","27/05/2019","30.25","01/10/2019"
"Lotus Eye Hospital","29.70","15/01/2020","15.55","06/08/2019"
"Lovable Lingerie Ltd","113.35","07/03/2019","56.05","02/08/2019"
"LT Foods Ltd.","41.60","13/03/2019","17.90","31/07/2019"
"Lumax Auto Technolog","166.45","06/03/2019","72.05","06/08/2019"
"Lumax Automotive Sys","42.65","03/05/2016","12.40","24/04/2017"
"Lumax Inds.","1,968.50","13/03/2019","910.00","05/08/2019"
"Lupin Ltd.","888.65","04/02/2019","646.30","07/10/2019"
"Lux Industries","1,549.80","22/01/2020","984.00","22/08/2019"
"Lyka Labs","34.80","05/04/2019","14.55","05/09/2019"
"Lypsa Gems & Jewell","9.00","18/03/2019","3.35","09/12/2019"
"M K Proteins","79.00","25/01/2019","63.50","07/05/2019"
"M M Forgings Ltd.","586.70","12/03/2019","308.45","10/12/2019"
"M R Organisation","190.00","28/11/2019","190.00","28/11/2019"
"M&M Fin.Services","453.00","12/03/2019","284.85","02/08/2019"
"Maan Aluminium Ltd.","106.95","06/03/2019","55.15","30/12/2019"
"Macpower CNC Machine","164.20","08/04/2019","51.00","28/11/2019"
"Madhav Copper","139.95","30/10/2019","49.63","31/01/2019"
"Madhav Marbles & Gra","48.15","07/03/2019","20.35","31/07/2019"
"Madhucon Project","10.90","30/05/2019","3.15","31/01/2020"
"Madhya Bharat Agro","90.50","11/09/2019","41.10","10/06/2019"
"Madhya Pradesh Today","42.90","03/06/2019","18.25","20/01/2020"
"Madras Fertilize","31.50","04/07/2019","17.60","23/08/2019"
"Magadh Sugar & Energ","141.00","17/01/2020","58.91","12/02/2019"
"Magma Fincorp Ltd.","138.30","02/07/2019","35.75","21/11/2019"
"Magnum Ventures Ltd.","7.45","21/06/2019","2.80","11/10/2019"
"Maha Rashtra Ape","131.90","18/03/2019","67.75","29/08/2019"
"Maha. Scooters","4,950.00","08/11/2019","3,012.35","28/02/2019"
"Maha. Seamless","510.00","20/03/2019","351.25","09/10/2019"
"Mahamaya Steel Indus","218.45","12/06/2019","84.50","23/01/2020"
"Mahanagar Gas","1,246.20","30/01/2020","754.15","22/07/2019"
"Maheshwari Logist","340.00","27/01/2020","175.00","20/02/2019"
"Mahi. & Mahi","715.40","01/02/2019","502.55","14/08/2019"
"Mahickra Chemicals","93.50","10/01/2020","40.80","08/02/2019"
"Mahindra CIE Auto","255.90","29/05/2019","135.10","26/08/2019"
"Mahindra Holidays","256.00","19/03/2019","185.50","19/02/2019"
"Mahindra Lifespace D","454.80","14/10/2019","354.10","25/03/2019"
"Mahindra Logistics L","577.80","15/04/2019","316.50","27/09/2019"
"Maithan Alloys Ltd.","699.00","31/05/2019","344.50","31/01/2019"
"Majesco L","587.10","15/07/2019","364.00","23/12/2019"
"Malu Paper Mills","40.85","01/10/2019","18.00","05/08/2019"
"Malwa Cotton Spg","9.50","28/03/2017","4.75","17/10/2017"
"Man Industries I","74.05","01/04/2019","34.40","05/08/2019"
"Man Infraconstructio","42.00","29/03/2019","18.10","03/10/2019"
"Manaksia Aluminium","8.25","13/03/2019","3.75","07/10/2019"
"Manaksia Coated Meta","8.00","13/02/2019","3.50","06/09/2019"
"Manaksia Ltd.","41.50","05/03/2019","28.20","31/07/2019"
"Manaksia Steels","24.75","13/03/2019","7.10","16/12/2019"
"Manali Petrochem","28.45","18/04/2019","15.50","11/12/2019"
"Manappuram Finance","194.80","29/01/2020","90.25","31/01/2019"
"Manav Infra Projects","6.20","31/01/2019","4.35","31/01/2020"
"Mangalam Cement","333.40","10/01/2020","190.35","12/02/2019"
"Mangalam Drugs","71.70","13/03/2019","24.15","10/10/2019"
"Mangalam Global Ent","55.65","27/11/2019","48.85","29/11/2019"
"Mangalam Timber","21.50","25/02/2019","4.80","18/10/2019"
"Mangalore Chem.","44.45","18/04/2019","25.20","19/08/2019"
"Mangalore Refine","76.20","19/03/2019","39.65","18/12/2019"
"Manjeera Constru","80.85","06/06/2014","47.75","10/12/2014"
"Manjushree Techno","495.00","27/10/2014","152.00","18/03/2014"
"Manpasand Beverage","130.00","14/03/2019","4.20","31/10/2019"
"Manugraph India Ltd.","33.75","15/03/2019","12.50","04/09/2019"
"Maral Overseas","29.50","06/03/2019","13.35","11/12/2019"
"MarathonNextgenRea","154.00","10/04/2019","57.00","04/09/2019"
"Marg Ltd.","24.05","11/06/2014","6.20","31/03/2014"
"Marico Kaya Enter","2,308.90","13/04/2015","214.40","03/07/2014"
"Marico Ltd.","404.00","25/09/2019","313.00","31/01/2020"
"Marine Electricals","123.00","12/09/2019","88.00","15/02/2019"
"Marksans Pharma","28.10","06/03/2019","11.40","31/07/2019"
"Marshall Machines","35.75","15/03/2019","13.10","27/11/2019"
"Maruti Suzuki India","7,758.70","29/10/2019","5,446.05","31/07/2019"
"Marvel Decor","39.00","13/03/2019","13.90","04/10/2019"
"Mas Financial Servic","998.00","31/01/2020","505.50","18/02/2019"
"Mask Investments","71.90","16/05/2019","19.05","01/04/2019"
"Mastek Li","508.40","27/05/2019","294.05","17/10/2019"
"Matrimony.com","755.60","31/05/2019","364.00","19/02/2019"
"Mawana Sugars Ltd.","67.00","27/05/2019","24.20","23/08/2019"
"Max Financial Servic","568.20","09/01/2020","360.90","05/02/2019"
"Max India","92.20","28/01/2020","54.15","23/08/2019"
"Max Ventures and Ind","60.30","31/12/2019","34.00","25/07/2019"
"Mayur Uniquoters","388.00","01/02/2019","199.50","03/01/2020"
"Mazda Ltd.","495.05","20/01/2020","245.00","04/02/2019"
"MBL Infrastructures","15.30","12/03/2019","3.85","27/12/2019"
"McDowell Holdings Lt","31.70","29/01/2020","14.25","08/08/2019"
"McLeod Russel","100.50","31/01/2019","3.90","26/12/2019"
"McNally Bharat E","9.90","31/01/2019","2.25","22/07/2019"
"MCX","1,443.00","21/01/2020","643.50","19/02/2019"
"Media Matrix Worldwi","8.30","19/11/2014","2.85","19/05/2014"
"Megasoft Ltd.","9.80","27/12/2019","5.60","15/02/2019"
"Meghmani Organics","73.15","29/05/2019","40.70","23/08/2019"
"Melstar Inform.","4.25","31/01/2020","0.65","26/11/2019"
"Menon Bearings L","86.45","28/03/2019","52.35","14/11/2019"
"MEP Infrastructure","45.50","26/03/2019","24.60","11/10/2019"
"Mercator Ltd.","9.70","04/02/2019","0.65","18/10/2019"
"Metalyst Forgings","13.00","18/03/2019","4.40","27/12/2019"
"Metkore Alloys & Ind","1.20","01/02/2019","0.15","28/08/2019"
"Metropolis Healthcar","1,730.00","27/01/2020","907.00","13/05/2019"
"MIC Electronics Ltd.","1.50","13/03/2019","0.35","11/10/2019"
"MIG Media Neurons","250.00","24/12/2019","250.00","24/12/2019"
"Milton Industries","15.91","26/02/2019","9.23","29/07/2019"
"Minda Corporation","154.85","01/03/2019","65.55","23/08/2019"
"Minda Industries","425.90","27/01/2020","260.70","11/02/2019"
"Mindpool Technologie","30.00","28/02/2019","15.00","05/12/2019"
"Mindteck (India)","54.50","31/05/2019","23.70","27/12/2019"
"MindTree Ltd.","995.00","25/04/2019","652.05","22/07/2019"
"Mirc Electronics","25.20","01/02/2019","6.05","11/10/2019"
"Mirza International","75.70","01/02/2019","49.55","14/05/2019"
"Mishra Dhatu Nig","186.95","08/11/2019","107.60","18/02/2019"
"MITCON Consultancy","52.00","12/03/2019","32.00","24/07/2019"
"Mittal Life Style","107.50","23/07/2019","56.25","04/02/2019"
"MMP Industries Ltd.","133.40","08/04/2019","90.00","02/01/2020"
"MMTC Ltd.","29.85","06/03/2019","14.15","15/10/2019"
"Modi Rubber","47.95","01/04/2019","27.55","27/01/2020"
"Mohini Health & Hygi","35.90","02/04/2019","13.85","06/08/2019"
"Mohit Industries","10.20","01/02/2019","3.40","30/01/2020"
"Mohota Industries L","48.40","31/01/2019","6.40","25/11/2019"
"MOIL Ltd.","171.75","06/03/2019","118.10","23/08/2019"
"Moksh Ornaments Ltd.","27.50","27/03/2019","16.25","27/05/2019"
"Mold-Tek Packaging","321.80","22/10/2019","202.00","20/02/2019"
"Mold-Tek Technologi.","63.45","30/05/2019","41.20","26/02/2019"
"Momai Apparels","168.50","11/12/2017","113.00","12/09/2017"
"Monnet Ispat & Energ","37.20","31/01/2019","8.55","11/12/2019"
"Monsanto India","2,942.90","26/09/2018","1,880.00","05/08/2019"
"Monte Carlo Fashions","396.00","20/02/2019","216.00","10/10/2019"
"Morarjee Textiles Li","28.80","14/03/2019","10.50","16/07/2019"
"Morepen Labs.Lt","23.95","24/09/2019","14.55","21/02/2019"
"Moser Baer India","7.70","09/01/2018","1.20","10/10/2018"
"MothersonSumiSystems","175.60","12/03/2019","91.10","23/08/2019"
"Motilal Oswal Financ","905.40","13/01/2020","489.10","05/08/2019"
"Motor & General","58.80","05/03/2019","29.55","22/10/2019"
"MphasiS Ltd.","1,063.00","15/02/2019","827.75","27/11/2019"
"MPS Infotecnics","0.10","31/01/2019","0.05","31/01/2019"
"MPS Ltd.","602.15","31/10/2019","356.00","31/01/2020"
"MRF Ltd","70,999.95","28/01/2020","51,586.30","02/05/2019"
"MRO-TEK Realty","52.70","26/04/2019","14.40","09/10/2019"
"MSP Steel & Power Lt","16.50","05/03/2019","4.45","17/10/2019"
"MSTC Ltd.","184.85","13/11/2019","73.10","23/08/2019"
"MT Educare Ltd.","94.25","13/05/2019","12.65","17/10/2019"
"MTNL","14.90","01/02/2019","4.45","23/08/2019"
"Mukand Engineers","21.90","02/07/2019","9.45","23/08/2019"
"Mukand Ltd.","62.00","14/03/2019","24.50","04/12/2019"
"Mukta Arts Ltd.","58.30","30/04/2019","31.70","22/07/2019"
"Munjal Auto Industr.","62.80","01/02/2019","29.15","05/08/2019"
"Munjal Showa Ltd","184.00","11/03/2019","114.20","23/08/2019"
"Murli Industries Lt","5.30","11/08/2015","1.65","23/05/2016"
"Murudeshwar Cer.","25.75","13/01/2020","11.70","22/08/2019"
"MUSCO Ltd","638.70","11/12/2014","107.30","27/12/2013"
"Music Broadcast","64.70","20/02/2019","25.70","06/01/2020"
"Muthoot Capital","1,048.10","31/01/2019","422.80","10/10/2019"
"Muthoot Finance","796.40","16/01/2020","472.60","06/02/2019"
"MVL Ltd.","0.25","28/01/2019","0.05","03/09/2019"
"N K Industries L","57.40","10/06/2019","15.60","13/12/2019"
"N R Agarwal Indu","362.00","05/03/2019","147.05","22/07/2019"
"NACL Industries L","34.40","08/02/2019","25.00","08/08/2019"
"Naga Dhunseri Group","1,054.00","25/04/2019","490.00","05/08/2019"
"Nagarjuna Fertilizer","9.00","01/02/2019","2.65","17/10/2019"
"Nagarjuna Oil Refine","0.80","24/12/2018","0.15","23/08/2019"
"Nagreeka Capital & I","15.40","07/03/2019","5.40","26/07/2019"
"Nagreeka Exports","25.70","15/05/2019","11.35","06/08/2019"
"Nahar Capital & Fina","102.90","14/03/2019","57.30","23/08/2019"
"Nahar Indust.Ent","49.50","04/02/2019","19.20","13/12/2019"
"Nahar Poly Films Ltd","43.30","05/03/2019","24.00","05/08/2019"
"Nahar Spg Mills","95.70","01/04/2019","40.15","17/12/2019"
"Nakoda","0.45","19/02/2018","0.05","22/10/2018"
"Nalwa Sons Investmen","1,129.95","29/05/2019","618.00","19/12/2019"
"Nandan Denim","59.95","04/02/2019","23.05","06/08/2019"
"Nandani Creation","22.20","04/04/2019","5.50","16/10/2019"
"Narayana Hrudayalaya","389.00","29/01/2020","184.30","17/05/2019"
"Narmada Agrobase","27.50","18/11/2019","17.00","29/03/2019"
"Natco Pharma","709.75","08/02/2019","480.00","28/05/2019"
"Nath Bio-Genes","485.00","08/04/2019","306.10","14/10/2019"
"National Alumini","60.50","31/01/2019","36.90","23/08/2019"
"National Fertilizers","41.00","29/05/2019","23.50","23/08/2019"
"National Oxygen","70.70","08/10/2014","33.25","04/03/2014"
"National Steel and A","6.65","25/02/2019","1.75","04/09/2019"
"Nava Bharat Ventures","113.00","08/02/2019","58.05","13/11/2019"
"Navin Fluorine Inter","1,259.00","29/01/2020","570.00","29/07/2019"
"Navkar Corporation L","50.20","01/02/2019","18.75","31/07/2019"
"Navneet Education","119.95","15/04/2019","86.90","18/12/2019"
"NBCC (India)","68.30","19/03/2019","28.50","23/08/2019"
"NBI Industrial Fin","1,798.00","27/01/2020","885.20","29/03/2019"
"NCC","119.20","27/05/2019","45.40","07/10/2019"
"NCL Industries","161.80","31/05/2019","74.25","26/11/2019"
"NDTV","41.00","20/05/2019","25.00","02/01/2020"
"Nectar Lifesciences","20.80","28/05/2019","10.90","17/10/2019"
"Neha Internation","19.40","27/05/2014","6.75","23/01/2015"
"NEL Holdings","8.15","12/03/2019","1.45","18/10/2019"
"Nelcast Ltd.","80.80","15/03/2019","31.30","06/08/2019"
"Nelco Ltd","342.00","05/04/2019","205.00","23/08/2019"
"Neo Corp Internation","46.00","09/01/2015","8.50","28/04/2014"
"Neogen Chemicals","419.00","30/01/2020","243.00","16/05/2019"
"NEPC India Lt","2.40","16/02/2017","1.30","24/04/2017"
"Nesco Ltd.","778.90","24/01/2020","423.10","12/02/2019"
"Nestle India","15,899.95","29/01/2020","10,031.65","11/03/2019"
"Net 4 India","1.90","26/05/2017","1.35","15/03/2017"
"Network 18 Media & I","38.25","15/04/2019","17.35","22/08/2019"
"Neueon Towers","1.55","06/02/2019","0.25","31/07/2019"
"Neuland Laborat","827.30","26/02/2019","380.25","19/12/2019"
"Newgen Software Tech","372.00","16/04/2019","163.65","27/10/2019"
"Next Mediaworks","26.95","08/03/2019","7.80","31/01/2020"
"NHPC","29.10","20/01/2020","20.85","02/08/2019"
"Nicco Corporatio","0.70","03/11/2016","0.25","07/10/2016"
"NIIT Ltd.","116.85","12/04/2019","74.00","17/10/2019"
"NIIT Technologies","2,059.50","23/01/2020","1,178.10","31/07/2019"
"Nila Infrastructures","10.00","18/03/2019","3.60","01/10/2019"
"Nila Spaces L","3.30","31/01/2019","0.90","17/10/2019"
"Nilkamal Ltd.","1,543.70","16/01/2020","889.85","05/08/2019"
"Nippon LifeAM Ltd.","386.40","22/11/2019","127.80","05/02/2019"
"Nissan Copper Ltd.","2.05","28/09/2015","1.15","18/12/2015"
"Nitco Ltd.","45.50","07/03/2019","18.45","22/08/2019"
"Nitin Fire Protectio","1.80","13/03/2019","0.20","06/08/2019"
"Nitin Spinners","94.90","04/02/2019","44.20","20/11/2019"
"Nitiraj Engineers","106.40","02/08/2019","35.00","15/04/2019"
"NLC India L","80.80","18/03/2019","46.05","11/12/2019"
"NMDC Ltd.","139.70","23/01/2020","74.80","23/08/2019"
"NOCIL Ltd.","150.50","15/03/2019","74.00","22/08/2019"
"Noesis Industries","0.95","02/12/2019","0.05","07/01/2019"
"NoidaTollBridge","7.60","31/01/2019","2.30","01/08/2019"
"Norben Tea & Exp","5.35","05/04/2019","3.45","20/01/2020"
"North Eastern Carry","10.20","07/03/2019","4.60","22/10/2019"
"Novopan Industri","48.80","05/08/2014","29.15","13/01/2014"
"NRB Bearings Lim","212.75","01/03/2019","74.00","05/08/2019"
"NRB Industrial Beari","23.85","11/04/2019","5.55","27/01/2020"
"NRC","5.50","12/06/2014","2.50","01/04/2014"
"NTPC","145.85","01/07/2019","106.62","13/02/2019"
"Nu Tek India Ltd.","0.70","22/04/2019","0.05","14/10/2019"
"Nucleus Software","399.00","26/04/2019","272.55","18/12/2019"
"Nxtdigital L","432.35","02/12/2019","275.00","01/08/2019"
"Oberoi Realty","641.70","04/07/2019","434.50","31/01/2019"
"OCL India Limi","1,624.00","28/11/2017","855.30","23/10/2018"
"OCL Iron & Steel","10.15","19/07/2019","2.00","08/02/2019"
"Oil Country Tub.","16.50","20/03/2019","5.10","31/01/2020"
"Oil India Ltd.","189.70","24/05/2019","127.90","31/01/2020"
"Olectra Greentech","274.45","25/03/2019","147.60","04/09/2019"
"OM Metals Infraproje","35.80","18/03/2019","13.30","02/08/2019"
"Omax Auto","102.00","26/02/2019","32.25","05/08/2019"
"Omaxe Ltd.","218.20","02/04/2019","144.00","06/12/2019"
"Omfurn India Ltd.","15.00","12/03/2019","5.00","03/10/2019"
"Omkar Speciality Che","21.40","01/02/2019","3.25","17/12/2019"
"Omnitech InfoSolutio","3.95","11/04/2016","2.55","07/10/2016"
"One Point One Soluti","45.00","09/05/2019","7.40","02/12/2019"
"Onelife Capital Adv","14.50","25/03/2019","4.55","30/10/2019"
"ONGC","178.90","23/05/2019","106.75","31/01/2020"
"OnMobile Global Ltd.","45.45","17/09/2019","26.20","05/08/2019"
"Onward Technolog","77.00","02/12/2019","49.50","02/05/2019"
"Opal Luxury Time Pro","120.00","20/11/2019","60.00","13/03/2019"
"Optiemus Infracom","127.90","16/04/2019","25.85","26/12/2019"
"Opto Circuits India","9.85","20/03/2019","2.70","28/01/2020"
"Oracle Financial Ser","3,938.95","07/02/2019","2,336.20","12/12/2019"
"Orbit Corporation","6.35","08/02/2017","1.40","20/11/2017"
"Orbit Exports Li","129.40","13/03/2019","78.00","19/11/2019"
"Oricon Enterprises L","33.85","07/03/2019","15.85","26/12/2019"
"Orient Abrasives","30.80","18/03/2019","14.30","24/12/2019"
"Orient Bell","187.80","08/04/2019","110.00","05/08/2019"
"Orient Cement Ltd.","124.00","28/05/2019","62.15","06/02/2019"
"Orient Electric","256.45","31/01/2020","124.00","15/02/2019"
"Orient Green Power C","5.80","04/07/2019","1.35","31/10/2019"
"Orient Paper","40.20","12/03/2019","20.30","23/08/2019"
"Orient Press Ltd","178.75","06/06/2019","83.50","02/12/2019"
"Orient Refractories","258.25","30/01/2020","160.00","05/08/2019"
"Oriental Aromatics","233.40","26/09/2019","161.00","31/07/2019"
"Oriental Bank of","118.95","01/04/2019","48.75","22/10/2019"
"Oriental Carbon","1,219.50","04/02/2019","941.35","21/11/2019"
"Oriental Hotels","49.45","02/04/2019","30.00","05/08/2019"
"Oriental Trimex","15.60","11/02/2019","9.20","19/12/2019"
"Orissa Minerals Deve","2,031.10","31/01/2020","521.35","23/08/2019"
"Ortel Communications","5.00","18/04/2019","0.15","01/11/2019"
"Ortin Laborator.","17.45","04/06/2019","8.10","04/09/2019"
"Osia Hyper Retail","305.00","04/06/2019","221.00","22/08/2019"
"Oswal Agro Mills","10.00","06/03/2019","4.55","31/12/2019"
"Oswal Green Tech","18.00","06/06/2019","7.75","23/08/2019"
"Oswal Minerals","33.85","17/12/2014","12.30","04/07/2014"
"Oudh Sugar Mills","169.75","07/02/2017","58.05","29/03/2016"
"P&G Health","5,120.00","29/07/2019","2,860.55","26/02/2019"
"P&G Hygiene&Health","12,774.90","30/10/2019","9,725.10","26/08/2019"
"PAE","4.30","03/01/2020","2.05","12/03/2019"
"Page Industries Ltd.","26,882.60","24/01/2020","17,150.00","23/08/2019"
"Paisalo Digital L","488.90","22/10/2019","259.00","31/01/2020"
"Palash Securities","47.60","04/06/2019","24.10","22/11/2019"
"Palred Technologies","44.90","29/05/2019","14.50","17/10/2019"
"Pan India Corporatio","0.45","17/02/2017","0.20","21/06/2016"
"Panacea Biotec L","215.95","27/02/2019","110.00","12/12/2019"
"Panache Digilife","72.80","23/01/2020","37.15","30/04/2019"
"Panama Petrochem","142.95","13/03/2019","56.45","06/12/2019"
"Panasonic Appliances","359.45","28/01/2015","44.20","07/02/2014"
"Panasonic Carbon Ind","292.40","03/11/2014","125.00","07/03/2014"
"Panchsheel Organ","36.45","28/01/2015","19.15","22/08/2014"
"Panoramic Universal","9.80","17/04/2018","1.65","05/03/2019"
"Pansari Developers","34.00","08/03/2019","20.50","10/12/2019"
"Par Drugs & Chemical","56.00","12/07/2019","37.00","14/01/2020"
"Parabolic Drugs Ltd.","4.05","23/12/2019","0.45","09/08/2019"
"Parag Milk Foods","276.00","05/07/2019","125.00","18/11/2019"
"Paramount Commun","15.00","02/05/2019","6.55","22/10/2019"
"Paramount Printpacka","1.10","09/08/2016","0.85","15/07/2016"
"Paras Petrofils","0.35","19/12/2016","0.05","27/01/2017"
"Parekh Aluminex","49.85","23/05/2014","24.55","16/03/2015"
"Parenteral Drugs","11.40","31/01/2019","2.20","14/10/2019"
"Parin Furniture","72.90","22/07/2019","52.25","27/01/2020"
"Parrys Sugar Ind","73.00","21/04/2017","31.10","09/11/2016"
